h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
882aac868bfffff,Delis,1,3.5,32,2470.397191697192,66.69,40.0172,-75.322067,19010
882aacb6a1fffff,Pizza,1,4.0,91,2507.6666666666665,66.69,39.766237,-75.143694,08080
88441ad53bfffff,Chicken Shop,1,1.5,87,2505.524538470359,66.69,27.797713,-82.33397,33579
882a134c19fffff,Chinese,1,2.0,26,2463.222222222222,66.69,39.90056,-75.063609,08108
882a134c5bfffff,Chinese,1,3.5,23,2463.222222222222,66.69,39.911802,-75.054031,08108
882a134c5bfffff,Mediterranean,1,5.0,25,2463.222222222222,66.69,39.910022,-75.049079,08108
882a1379a5fffff,Diners,1,3.5,94,2507.6666666666665,66.69,39.752576,-75.077831,08080
882aac8507fffff,Chinese,1,3.5,48,2480.8333333333335,66.69,40.041527,-75.484696,19301
882aac855bfffff,Rolfing,1,3.5,75,2497.088888888889,66.69,40.047624,-75.442432,19312
882aac8689fffff,Cambodian,1,3.5,30,2470.397191697192,66.69,40.022263,-75.319509,19010
882aac8689fffff,Hot Dogs,1,3.5,31,2470.397191697192,66.69,40.023987,-75.32296,19010
882aac86d5fffff,Delis,1,3.0,37,2470.397191697192,66.69,40.021931,-75.31728,19010
882a134c09fffff,Coffee & Tea,1,4.5,18,2463.222222222222,66.68,39.920313,-75.080813,08108
882a134c5bfffff,Desserts,1,4.0,15,2463.222222222222,66.68,39.911766,-75.052051,08108
882a134c5bfffff,Poke,1,4.0,15,2463.222222222222,66.68,39.911821,-75.053973,08108
882a134eadfffff,American (New),1,3.0,10,2463.222222222222,66.68,39.908546,-75.046397,08108
882a13cd0dfffff,Southern,1,4.5,64,2493.3555555555554,66.68,40.208944,-74.774744,19067
882aac8501fffff,Latin American,1,2.0,39,2480.8333333333335,66.68,40.042829,-75.483746,19301
882aac8501fffff,Mexican,1,4.0,44,2480.8333333333335,66.68,40.042254,-75.483269,19301
882aac850bfffff,Pan Asian,1,4.5,43,2480.8333333333335,66.68,40.041706,-75.473993,19301
882aac8689fffff,Soup,1,4.5,28,2470.397191697192,66.68,40.021555,-75.325373,19010
882aac86ebfffff,Tobacco Shops,1,2.5,29,2470.397191697192,66.68,40.029697,-75.334095,19010
882aac8891fffff,American (New),1,3.5,134,2537.5,66.68,40.077082,-75.687565,19425
882aacb6abfffff,Pizza,1,4.0,86,2507.6666666666665,66.68,39.76085,-75.1315,08080
88441ac137fffff,Barbeque,1,2.5,8,2462.0446969696973,66.68,27.850446,-82.169961,33547
88441ac1c9fffff,Sushi Bars,1,3.0,12,2462.0446969696973,66.68,27.842201,-82.215455,33547
88441ac1ebfffff,Pizza,1,3.5,11,2462.0446969696973,66.68,27.860135,-82.197974,33547
882a134c55fffff,Salad,1,3.5,11,2463.222222222222,66.68,39.916363,-75.070106,08108
882a134c5bfffff,Chicken Wings,1,2.5,17,2463.222222222222,66.68,39.910446,-75.04864,08108
882a134c5bfffff,Coffee & Tea,1,3.0,10,2463.222222222222,66.68,39.910513,-75.048741,08108
882a135235fffff,Sandwiches,1,3.0,63,2493.3555555555554,66.68,40.198738,-74.862628,19067
882a135245fffff,Sushi Bars,1,4.5,62,2493.3555555555554,66.68,40.242312,-74.839015,19067
882aac850bfffff,Diners,1,2.0,40,2480.8333333333335,66.68,40.042038,-75.470772,19301
882aac855bfffff,Thai,1,3.5,71,2497.088888888889,66.68,40.047532,-75.43791,19312
88441a8837fffff,Specialty Food,1,4.5,282,2632.0512820512818,66.68,27.922274,-82.493829,33629
88441ac1c7fffff,Sandwiches,1,3.0,14,2462.0446969696973,66.68,27.85537,-82.204264,33547
88441ac1c7fffff,Tex-Mex,1,2.5,11,2462.0446969696973,66.68,27.859362,-82.203607,33547
88441ac1c9fffff,Pizza,1,4.0,14,2462.0446969696973,66.68,27.841946,-82.215017,33547
88441ad539fffff,Southern,1,3.5,79,2505.524538470359,66.68,27.791641,-82.329139,33579
882a134c0dfffff,Donuts,1,3.5,5,2463.222222222222,66.67,39.922566,-75.086985,08108
882a134c51fffff,Convenience Stores,1,2.0,8,2463.222222222222,66.67,39.913059,-75.0564,08108
882a134c5bfffff,Vegan,1,3.5,9,2463.222222222222,66.67,39.912648,-75.055171,08108
882a13522dfffff,Cheesesteaks,1,3.5,57,2493.3555555555554,66.67,40.221037,-74.873012,19067
882a13522dfffff,Japanese,1,3.0,58,2493.3555555555554,66.67,40.221653,-74.871775,19067
882aac8507fffff,Burgers,1,1.5,34,2480.8333333333335,66.67,40.041282,-75.493228,19301
